Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
ΚΑΝ-1316157086;HKV-D11 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;230,888;TEMAXIA;Κανονικός
ΚΑΝ-1316157085;HKV-D10 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;211,668;TEMAXIA;Κανονικός
ΚΑΝ-1316157084;HKV-D9 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;193,812;TEMAXIA;Κανονικός
ΚΑΝ-1316157083;HKV-D8 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;177,3944;TEMAXIA;Κανονικός
ΚΑΝ-1316157082;HKV-D7 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;157,914;TEMAXIA;Κανονικός
ΚΑΝ-1316157081;HKV-D6 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;140,7648;TEMAXIA;Κανονικός
ΚΑΝ-1316157080;HKV-D5 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;120,4784;TEMAXIA;Κανονικός
ΚΑΝ-1316157079;HKV-04 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;102,92;TEMAXIA;Κανονικός
ΚΑΝ-1316157078;HKV-03 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;84,9648;TEMAXIA;Κανονικός
ΚΑΝ-1316157077;HKV-02 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;68,448;TEMAXIA;Κανονικός
ΚΑΝ-1316157067;HKV-D3 ΑΝΟΞ. ΜΕ ΠΑΡΟΧΟΜΕΤΡΟ 84818069;67,0096;Τεμάχια;Κανονικός
ΚΑΝ-1300264001;ΘΕΡΜΟΜΕΤΡΟ 100ο C RED 90251980;4,583;Τεμάχια;Κανονικός
ΚΑΝ-1300183007;ΣΦ.ΒΑΝΑ ΚΟΛΛΕΚΤΕΡ ΓΩΝ. 1'' ΣΕΤ 2ΤΜΧ 84818039;30,0154;TEMAXIA;Κανονικός
ΚΑΝ-1300183006;ΣΦ.ΒΑΝΑ ΚΟΛΛΕΚΤΕΡ  1'' ΣΕΤ 2ΤΜΧ 84818039;29,1896;TEMAXIA;Κανονικός
ΚΑΝ-1300174042;"ΜΑΣΤΟΣ ΑΡΣ.ΧΡΩΜΕ ΜΕ ΛΑΣΤ. G 1"" 75072000";6,8634;Τεμάχια;Κανονικός
ΚΑΝ-1300103003;ΓΚΡΟΥΠ ΚΥΚΛΟΦΟΡΗΤΩΝ KVS=1.6 20-43o C 84137030;391,5027;TEMAXIA;Κανονικός
ΚΑΝ-1029196114;ΣΩΛ.PERTAL ΜΕ ΚΟΚ.ΜΟΝΩΣΗ 6mm ULTRA PRESS-32X3.00 3;13,6276;Μέτρα;Κανονικός
ΚΑΝ-1029196092;ΣΩΛ.PERTAL ULTRA PRESS 20X2.0 39172190;4,2185;Μέτρα;Κανονικός
ΚΑΝ-1029196067;ΣΩΛ.PERTAL ΜΕ ΜΠΛΕ ΜΟΝ.6mm ULTRA PRESS 32X3.0 3917;13,6276;Μέτρα;Κανονικός
ΚΑΝ-1029195011;ΣΩΛ.16Χ2,0 Χ 6mm ULTRA PRESS PERTAL ΜΠΛΕ;1,364;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1029195010;ΣΩΛ.16Χ2,0 Χ 6mm ULTRA PRESS PERTAL ΚΟΚΚΙΝΗ;1,364;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1029195001;ΣΩΛ.20Χ2,0 Χ 6mm ULTRA PRESS PERTAL ΜΠΛΕ;1,798;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1029195000;ΣΩΛ.20Χ2,0 Χ 6mm ULTRA PRESS PERTAL ΚΟΚΚΙΝΗ;1,798;ΜΕΤΡΑ;Κανονικός
ΚΑΝ-1010271002;ΣΥΝΔΕΣΜΟΣ ΘΗΛ.16X3/4 ULTRA PRESS ΓΙΑ ΣΩΛ.PERTAL 74;3,1769;Τεμάχια;Κανονικός
ΚΑΝ-1009285062;ΓΩΝΙΕΣ ΘΗΛ. 20Χ1/2 ΜΕ ΣΤΗΡ.ULTRA PRESS 74122000;5,642;Τεμάχια;Κανονικός
ΚΑΝ-1009285059;ΓΩΝΙΕΣ ΘΗΛ. 16Χ1/2 ΜΕ ΣΤΗΡ.ULTRA PRESS 74122000;4,9476;TEMAXIA;Κανονικός
ΚΑΝ-1009258011;ΤΑΦ ΘΗΛ.20Χ3/4 ULTRA PRESS 74122000;10,416;Τεμάχια;Κανονικός
ΚΑΝ-1009258001;ΤΑΦ ΘΗΛ.20Χ1/2 ULTRA PRESS 74122000;8,3502;Τεμάχια;Κανονικός
ΚΑΝ-1009258000;ΤΑΦ ΘΗΛ.16Χ1/2 ULTRA PRESS 74122000;7,4471;Τεμάχια;Κανονικός
ΚΑΝ-1009257144;ΤΑΦ Φ20 ULTRA PRESS 74122000;9,3397;TEMAXIA;Κανονικός
ΚΑΝ-1009257129;ΤΑΦ Φ16 ULTRA PRESS 74122000;6,7704;Τεμάχια;Κανονικός
ΚΑΝ-1009257020;PPSU ΤΑΦ Φ32 ULTRA PRESS 39174000;8,7668;TEMAXIA;Κανονικός
ΚΑΝ-1009257016;PPSU ΤΑΦ Φ26 ULTRA PRESS 39174000;7,1002;TEMAXIA;Κανονικός
ΚΑΝ-1009257009;PPSU ΤΑΦ Φ20 ULTRA PRESS 39174000;5,1906;Τεμάχια;Κανονικός
ΚΑΝ-1009257007;PPSU ΤΑΦ Φ16 ULTRA PRESS 39174000;4,3512;TEMAXIA;Κανονικός
ΚΑΝ-1009070013;ΓΩΝΙΕΣ ΑΡΣ. 20Χ3/4 ULTRA PRESS 74122000;5,5726;Τεμάχια;Κανονικός
ΚΑΝ-1009070010;ΓΩΝΙΕΣ ΑΡΣ. 20Χ1/2 ULTRA PRESS 74122000;4,2532;Τεμάχια;Κανονικός
ΚΑΝ-1009069011;ΓΩΝΙΕΣ ΘΗΛ. 20Χ3/4 ULTRA PRESS 74122000;7,1002;Τεμάχια;Κανονικός
ΚΑΝ-1009069008;ΓΩΝΙΕΣ ΘΗΛ. 20Χ1/2 ULTRA PRESS 74122000;5,1212;Τεμάχια;Κανονικός
