Κωδικός;Όνομα;Είδη - Λιανική Τιμή;1η Μ.Μ.;Κλάση Φ.Π.Α.
ΚΑΝ-1009069005;ΓΩΝΙΕΣ ΘΗΛ. 16Χ1/2 ULTRA PRESS 74122000;4,0796;TEMAXIA;Κανονικός
ΚΑΝ-1009068060;ΓΩΝΙΕΣ Φ20 90ο ULTRA PRESS 74122000;7,4474;Τεμάχια;Κανονικός
ΚΑΝ-1009068054;ΓΩΝΙΕΣ Φ16 90ο ULTRA PRESS 74122000;5,5899;Τεμάχια;Κανονικός
ΚΑΝ-1009068034;PPSU ΓΩΝΙΕΣ 90ο Φ26 ULTRA PRESS 39174000;5,4857;TEMAXIA;Κανονικός
ΚΑΝ-1009068020;PPSU ΓΩΝΙΕΣ 90ο Φ32 ULTRA PRESS 39174000;7,0481;TEMAXIA;Κανονικός
ΚΑΝ-1009068010;PPSU ΓΩΝΙΕΣ 90ο Φ20 ULTRA PRESS 39174000;3,7324;Τεμάχια;Κανονικός
ΚΑΝ-1009068007;PPSU ΓΩΝΙΕΣ 90ο Φ16 ULTRA PRESS 39174000;3,281;TEMAXIA;Κανονικός
ΚΑΝ-1009068000;ΓΩΝΙΕΣ ΑΡΣ. 16Χ1/2 ULTRA PRESS 74122000;3,216;TEMAXIA;Κανονικός
ΚΑΝ-1009046045;PPSU ΣΥΣΤΟΛΕΣ 26/20 ULTRA PRESS 39174000;3,4199;Τεμάχια;Κανονικός
ΚΑΝ-1009046026;PPSU ΣΥΣΤΟΛΕΣ 20/16 ULTRA PRESS 39174000;2,8123;Τεμάχια;Κανονικός
ΚΑΝ-1009045043;ΡΑΚΟΡ ΑΡΣ.26Χ3/4 ULTRA PRESS 74122000;5,1212;Τεμάχια;Κανονικός
ΚΑΝ-1009045017;ΡΑΚΟΡ ΑΡΣ.32Χ1 ULTRA PRESS 74122000;6,8572;Τεμάχια;Κανονικός
ΚΑΝ-1009045016;ΡΑΚΟΡ ΑΡΣ.32Χ11/4 ULTRA PRESS 74122000;13,2283;Τεμάχια;Κανονικός
ΚΑΝ-1009045015;ΡΑΚΟΡ ΑΡΣ.26Χ1 ULTRA PRESS 74122000;5,8156;Τεμάχια;Κανονικός
ΚΑΝ-1009045009;ΡΑΚΟΡ ΑΡΣ.20Χ1/2 ULTRA PRESS 74122000;3,038;TEMAXIA;Κανονικός
ΚΑΝ-1009045005;ΡΑΚΟΡ ΑΡΣ.16Χ1/2 ULTRA PRESS 74122000;2,6908;TEMAXIA;Κανονικός
ΚΑΝ-1009044040;"ΡΑΚΟΡ ΘΗΛ.32Χ1"" ULTRA PRESS 74122000";7,8988;Τεμάχια;Κανονικός
ΚΑΝ-1009044029;ΡΑΚΟΡ ΘΗΛ.26Χ3/4 ULTRA PRESS 74122000;5,2948;Τεμάχια;Κανονικός
ΚΑΝ-1009044008;"ΡΑΚΟΡ ΘΗΛ.32Χ11/4"" ULTRA PRESS 74122000";15,5546;Τεμάχια;Κανονικός
ΚΑΝ-1009044006;"ΡΑΚΟΡ ΘΗΛ.26Χ1"" ULTRA PRESS 74122000";10,4681;Τεμάχια;Κανονικός
ΚΑΝ-1009044003;ΡΑΚΟΡ ΘΗΛ.20Χ3/4 ULTRA PRESS 74122000;4,6004;Τεμάχια;Κανονικός
ΚΑΝ-1009044002;ΡΑΚΟΡ ΘΗΛ.16Χ1/2 ULTRA PRESS 74122000;3,5588;Τεμάχια;Κανονικός
ΚΑΝ-1009042128;ΡΑΚΟΡ ΑΡΣ.20Χ3/4 ULTRA PRESS 74122000;4,0796;ΤΕΜΑΧΙΑ;Κανονικός
ΚΑΝ-1009042120;ΡΑΚΟΡ ΘΗΛ.20Χ1/2 ULTRA PRESS 74122000;3,906;Τεμάχια;Κανονικός
ΚΑΝ-1009042105;ΣΥΣΤΟΛΕΣ 20/16 ULTRA PRESS 74122000;5,1038;Τεμάχια;Κανονικός
ΚΑΝ-1009042049;ΜΟΥΦΕΣ Φ20 ULTRA PRESS 74122000;5,1906;Τεμάχια;Κανονικός
ΚΑΝ-1009042042;ΜΟΥΦΕΣ Φ16 ULTRA PRESS 74122000;4,3052;Τεμάχια;Κανονικός
ΚΑΝ-1009042039;PPSU ΜΟΥΦΕΣ Φ26 ULTRA PRESS 39174000;3,5414;TEMAXIA;Κανονικός
ΚΑΝ-1009042015;PPSU ΜΟΥΦΕΣ Φ20 ULTRA PRESS 39174000;3,281;ΤΕΜΑΧΙΑ;Κανονικός
ΚΑΝ-1009042013;PPSU ΜΟΥΦΕΣ Φ16 ULTRA PRESS 39174000;2,2915;TEMAXIA;Κανονικός
ΚΑΝ-1009042003;ΜΟΥΦΕΣ Φ32 ULTRA PRESS 74122000;6,1628;Τεμάχια;Κανονικός
Κ-ORION;ΠΛΑΚΙΔΙΑ ORION 40X40;8,6304;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
Κ250050;ΚΑΠΝΟΔ. ΙΝΟΧ Φ250 0.50Μ CE;28,644;TEMAXIA;Κανονικός
ΘΕΡΜΙΣ 25+8;ΣΟΜΠΑ ΞΥΛΟΥ ΝΕΡΟΥ 25+8;1284,64;TEMAXIA;Κανονικός
ΗΕ-735;ΦΟΥΡΝΟΣ ΗΕ-735 INOX UNIVERSO;676,2611;TEMAXIA;Κανονικός
Η-203;ΕΣΤΙΑ Η-203 ΙΝ  VTC-M TEKA;282,2764;TEMAXIA;Κανονικός
Η.542.ΙΝ;ΦΟΥΡΝΟΣ HS 724 EBON INOX;583,7073;TEMAXIA;Κανονικός
Η.524.ΙΝ;ΦΟΥΡΝΟΣ ΗΕ-715 INOX UNIVERSO;582,7008;TEMAXIA;Κανονικός
Η.521.ΙΝ;ΚΟΥΖΙΝΑ ΗΕ-735 Ε INOX UNIVERSO;724,842;TEMAXIA;Κανονικός
Η.367.2ΙΝ;ΑΠΟΡ.ΚΑΜΙΝΑΔΑ ΤΟΙΧ.DH2-70 INOX ΤΕΚΑ;483,0644;TEMAXIA;Κανονικός
Η.350.ΙΝ;ΑΠΟΡ.ΚΑΜΙΝΑΔΑ DBB -60 HIGH POWER INOX;213,7236;TEMAXIA;Κανονικός
Η.323.51Ν;ΑΠΟΡ.ΚΑΜΙΝ.ΤΟΙΧ.DS-60.1 VR04 INOX;661,3292;TEMAXIA;Κανονικός
Η.320.61Ν;ΑΠΟΡ.ΚΑΜΙΝΑΔΑ ΤΟΙΧΟΥ DEP-60 INOX ECON;179,4472;TEMAXIA;Κανονικός
Η.307.31Ν;ΑΠΟΡ.ΣΥΡΟΜΕΝΟΣ TL1 62 INOX;160,2948;TEMAXIA;Κανονικός
Η.284.GBU;ΕΣΤΙΑ CGMLUX 60 4G AI AL TR CRYST;461,7236;TEMAXIA;Κανονικός
Η.266;ΕΣΤΙΕΣ 300.520  VT.2 2G AI AL C1 ΜΠΙΖΟΥΤΕ;346,7908;TEMAXIA;Κανονικός
Η.245.G;ΕΣΤΙΕΣ 580 500 HF LUX 60 3G 1P AI AL ΤΕΚΑ;338,7308;TEMAXIA;Κανονικός
Η.210;ΕΣΤΙΕΣ 600 510-ΤΒ-600 Χ.ΠΛΑΙΣΙΟ;443,5728;TEMAXIA;Κανονικός
Η.189.5;ΕΣΤΙΕΣ 600 510 VTC-R 2DC E ΜΠΙΖΟΥΤΕ;540,3672;TEMAXIA;Κανονικός
Η.179.21Ν;ΦΟΥΡΝΟΣ ΜΙΚ/ΤΩΝ MWX-22 1 BI S INOX ΤΕΚΑ;598,8332;ΤΕΜΑΧΙΑ;Κανονικός
Η.162.ΙΝ;ΦΟΥΡΝΟΣ ΜΙΚΡ/ΤΩΝ MWE-210 G INOX;168,3548;TEMAXIA;Κανονικός
Η.157.ΙΝΝΑ;ΦΟΥΡΝΟΣ FGE-730 ENT.GKAZIOY NAT ΙΝΟΧ;660,3248;TEMAXIA;Κανονικός
ΕΝ-4;ΕΝΑΛΛΑΚΤΗΣ ΤΖΑΚΙΩΝ 30;620;TEMAXIA;Κανονικός
Ε044030;ΕΠΙΤΟΙΧΟ ΑΝΑΚΛΙΝΟΜΕΝΟ JET ROUND CHROME;39,68;TEMAXIA;Κανονικός
Δ-CONCRETE GRI;ΠΛΑΚΙΔΙΑ CONCRETE GRIGIO 61X61;8,556;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
Δ-CONCRETE GR;ΠΛΑΚΙΔΙΑ CONCRETE GRIS 68.5X68.5;12;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
ΓΡΕΕ-101Ε;ΚΛΙΜΑΤΙΣΤΙΚΟ LOMO 9 GRSΟ-101 ΕI/JLM1 -N3  GREE;601,4;TEMAXIA;Κανονικός
ΒUD-G215/58;ΛΕΒΗΤΑΣ BUDERUS G215 52/4;2387;TEMAXIA;Κανονικός
ΒUD 215-95;ΛΕΒΗΤΑΣ G215-95 WS BUDERUS LOGANO;5555,2;TEMAXIA;Κανονικός
ΒUD 215-45;ΛΕΒΗΤΑΣ G215 BE-45 UNIT;3546,4;TEMAXIA;Κανονικός
ZODIAC-MX9;ΣΚΟΥΠΑ ΑΥΤΟΜΑΤΗ MX9 ZODIAC;501,53;TEMAXIA;Κανονικός
YDR-CORFU-BE;ΠΛΑΚΙΔΙΑ CORFU BEIGE;11,4622;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
YARDY-XKTA;ΧΕΙΡΙΣΤΗΡΙΟ YARDY KTA;52,08;TEMAXIA;Κανονικός
YARDY-X;ΧΕΙΡΙΣΤΗΡΙΟ YARDY KBTCV2;112,84;TEMAXIA;Κανονικός
YARDY-KTM;ΘΕΡΜΟΣΤΑΤΗΣ ΟΡΙΟΥ KTM;23,56;TEMAXIA;Κανονικός
YARDY-B;ΒΑΣΗ ΔΑΠΕΔΟΥ YARDY -KPC;49,6;TEMAXIA;Κανονικός
YARDY-60;YARDY -EV3 MVP 60SX;768,8;TEMAXIA;Κανονικός
YARDY-48;YARDY -EV3 MVP 48SX;674,56;TEMAXIA;Κανονικός
YARDY-40;YARDY -EV3 MVP 40SX;579,08;TEMAXIA;Κανονικός
YARDY-34;YARDY -EV3 MVP 34SX;586,52;TEMAXIA;Κανονικός
YARDY-30;YARDY -EV3 MVP 30SX;544,36;TEMAXIA;Κανονικός
YARDY-25;YARDY -EV3 MVP 25SX;514,6;TEMAXIA;Κανονικός
YARDY-24;YARDY -EV3 MVP 24SX;515,84;TEMAXIA;Κανονικός
YARDY-20;YARDY -EV3 MVP 20SX;514,6;TEMAXIA;Κανονικός
YARDY-15;YARDY -EV3 MVP 15SX;461,28;TEMAXIA;Κανονικός
XKJ 1100 SA;ΑΝΤΙΑ CRYSTAL 1100 W;143,7795;TEMAXIA;Κανονικός
XH-12;ΠΛΑΚΙΔΙΑ XH-12;7,561;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XH-11;ΠΛΑΚΙΔΙΑ XH-11;7,561;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-TIROL;ΠΛΑΚΙΔΙΑ 600X600 PORCELAIN TIROL 9070;14,012;TEMAXIA;Κανονικός
XAH-STONELINE LGR;ΠΛΑΚΙΔΙΑ 600Χ1200 STONELINE LIGHT GREY 9917;20,026;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-STONEHENGE LB;ΠΛΑΚΙΔΙΑ 600Χ600 STONEHENGE LIGHT BEIGE6171;15,996;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-SPACE GR;ΠΛΑΚΙΔΙΑ 600X600 PORCELAIN SPACE GREY 9492;13,02;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-SPACE B;ΠΛΑΚΙΔΙΑ 600X600 PORCELAIN SPACE BEIGE 9413;13,02;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-SAFARI GR;ΠΛΑΚΙΔΙΑ 333X333 PORCELAIN SAFARI GREY 9569;12,028;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-SAFARI;ΠΛΑΚΙΔΙΑ 333X333 PORCELAIN SAFARI 8589;12,028;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-QUARRY W;ΠΛΑΚΙΔΙΑ 600Χ1200 PORCELAIN QUARRY WHITE 6372;19,84;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-OASIS GR;ΠΛΑΚΙΔΙΑ 600Χ1200 PORCELAIN OASIS GREY 9929;20,026;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-MYKONOS W;ΠΛΑΚΙΔΙΑ 600Χ1200 PORCELAIN MYKONOS WHITE 6931;20,026;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-IBERICA BR;ΠΛΑΚΙΔΙΑ 204X1204 PORCELAIN IBERICA BROWN 6461;16,988;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-IBERICA B;ΠΛΑΚΙΔΙΑ 204X1204 PORCELAIN IBERICA BEIGE 9436;16,988;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-EVOQUE N;ΠΛΑΚΙΔΙΑ 600X1200 PORCELAIN EVOQUE NATURAL 6125;20,026;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-CORONA LGR;ΠΛΑΚΙΔΙΑ 255Χ755 CORONA SQUARES LIGHT GREY 4712;16,492;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-CORONA LG;ΠΛΑΚΙΔΙΑ 255Χ755 CORONA LIGHT GREY 4710;15,004;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-CORONA GR;ΠΛΑΚΙΔΙΑ 255X755 CORONA SQUARES GREY 4711;16,492;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-CORONA G;ΠΛΑΚΙΔΙΑ 255Χ755 CORONA GREY 4709;15,004;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-ABITARE LGR;ΠΛΑΚΙΔΙΑ 250X400 ABITARE LIGHT GREY 5967;12,028;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-ABITARE GR;ΠΛΑΚΙΔΙΑ 250X400 ABITARE GREY 5968;12,028;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-ABITARE DEC;ΠΛΑΚΙΔΙΑ 250X400 ABITARE LIGHT GREY DECORE 5977;14,012;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-3398;ΠΛΑΚΙΔΙΑ R CEMENTO SILVER GREY 244X744;16,12;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-3396;ΠΛΑΚΙΔΙΑ R CEMENTO CREAM BEIGE 244X744;16,12;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-3394;ΠΛΑΚΙΔΙΑ R CEMENTO PERLA WHITE 244X744;16,12;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-3065;ΠΛΑΚΙΔΙΑ GLOSSY WHITE 200X200;9,92;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
XAH-1003;ΠΛΑΚΙΔΙΑ MONOPOROSA GLOSS WHITE 150X150;9,92;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
WT-DEEM210;ΕΠΙΤΟΙΧΙΟ ΗΛΕΚΤΡΙΚΟ BOILER DEEM 210;1835,2;TEMAXIA;Κανονικός
WT-DEEM180;ΕΠΙΤΟΙΧΙΟ ΗΛΕΚΤΡΙΚΟ BOILER DEEM 180;1736;TEMAXIA;Κανονικός
WT-DEEM150;ΕΠΙΤΟΙΧΙΟ ΗΛΕΚΤΡΙΚΟ BOILER DEEM 150;1550;TEMAXIA;Κανονικός
WT-80;ΛΕΒΗΤΑΣ ΜΑΝΤΕΜ. 83.300-87.500WATT WT-80;2074,52;ΤΕΜΑΧΙΑ;Κανονικός
WT-70;ΛΕΒΗΤΑΣ ΜΑΝΤΕΜ. 71.400-75.000WATT WT-70;1855,04;ΤΕΜΑΧΙΑ;Κανονικός
WT-60;ΛΕΒΗΤΑΣ ΜΑΝΤΕΜ. 60.700-63.500WATT WT-60;1636,8;ΤΕΜΑΧΙΑ;Κανονικός
WT-50;ΛΕΒΗΤΑΣ ΜΑΝΤΕΜ. 49.700-52.000WATT WT-50;1445,84;ΤΕΜΑΧΙΑ;Κανονικός
WT-40;ΛΕΒΗΤΑΣ ΜΑΝΤΕΜ. 38.500-40.500WATT WT-40;1156,92;ΤΕΜΑΧΙΑ;Κανονικός
WT-30;ΛΕΒΗΤΑΣ ΜΑΝΤΕΜ. 27.800-29.300WATT WT-30;948,6;ΤΕΜΑΧΙΑ;Κανονικός
V-IRON G;ΠΛΑΚΙΔΙΑ IRON DARK GREY 20X45;10,0813;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
V-IRON B;ΠΛΑΚΙΔΙΑ IRON BONE 20X45;10,0813;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
VICTRIX-ΣΥΝΔ60;ΣΥΝΔΕΣΜΟΣ ΦΛ.ΚΑΘ.ΚΑΠΝ.Φ60/100 VICTRIX;96,72;TEMAXIA;Κανονικός
VICTRIX-ΣΥND 80;ΣΥΝΔΕΣΜΟΣ ΦΛ(ΣΕΤ 2)Φ80 ΓΙΑ VICTRIX;47,12;TEMAXIA;Κανονικός
VICTRIX-ΠΡΟΕΚ;ΠΡΟΕΚΤΑΣΗ ΚΑΠΝ.Φ60/100 1Μ  VICTRIX;42,532;TEMAXIA;Κανονικός
VICTRIX-ΠΡΟ;ΠΡΟΕΚΤΑΣΗ ΚΑΠΝΑΓΩΓΟΥ Φ60/100 0.50 VICTRIX;27,76;TEMAXIA;Κανονικός
VICTRIX-ΓΩΝΙΑ;ΓΩΝΙΑ ΚΑΠΝΑΓ.90ο Φ60/100 ΓΙΑ VICTRIX;34,72;TEMAXIA;Κανονικός
VICTRIX-ΑΙΣΘ.;ΑΙΣΘΗΤΗΡΙΟ ΕΞΩΤΕΡΙΚΟ VICTRIX;45,88;TEMAXIA;Κανονικός
VICTRIX-TT;ΠΛΑΚΕΤΑ VICTRIX-TT 1042209;213,7377;TEMAXIA;Κανονικός
VICTRIX-TERA 38;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ VICTRIX TERA 38 1 ERP 3030803;1326,8;TEMAXIA;Κανονικός
VICTRIX-PRO;ΑΙΣΘΗΤΗΡΙΟ ΡΟΗΣ VICTRIX-PRO ERP 3024511/1;41,8425;TEMAXIA;Κανονικός
VICTRIX-KIT;ΚΙΤ ΟΜΟΚ.ΚΑΠΝΑΓ.Φ60/100 VICTRIX 24/32  3024598;25;TEMAXIA;Κανονικός
VICTRIX-F;ΦΙΛΤΡΟ ΤΡΙΟΔΗΣ ΚΟΜΠΛΕ VICTRIX;55,8868;TEMAXIA;Κανονικός
VICTRIX-ECO;ΚΙΝΗΤΗΡΑΣ ΤΡΙΟΔΗΣ ΒΑΝΑΣ VICTRIX;41,75;TEMAXIA;Κανονικός
VICTRIX-E32;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ  VICTRIX EXA 32 ΜΕ ΚΑΠΝ. IMMERGAS;886,6;TEMAXIA;Κανονικός
VICTRIX-E28;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ  VICTRIX EXA 28 ΜΕ ΚΑΠΝ. IMMERGAS;837;TEMAXIA;Κανονικός
VICTRIX-A;ΑΝΕΜΙΣΤΗΡΑΣ ΓΙΑ VICTRIX 35-55 3026243/1033960;222,66;TEMAXIA;Κανονικός
VICTRIX-80;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ  VICTRIX PRO 80;2294;TEMAXIA;Κανονικός
VICTRIX-55;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ  VICTRIX PRO 55;2083,2;TEMAXIA;Κανονικός
VICTRIX-35;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ TERA 38 ΜΕ ΚΑΠΝ. IMMERGAS;1085;TEMAXIA;Κανονικός
VICTRIX-32;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ TERA 32 ΜΕ ΚΑΠΝ. IMMERGAS;905,2;TEMAXIA;Κανονικός
VICTRIX-3029202;ΠΛΑΚΕΤΑ ΗΛΕΚΤΡΟΝ.VICTRIX 26KW/EXA;200;TEMAXIA;Κανονικός
VICTRIX-1035966;ΔΙΑΚΟΙΠΤΗΣ ΡΟΗΣ ΝΕΡΟΥ ΓΙΑ VICTRIX PRO 35-55;78,926;TEMAXIA;Κανονικός
VICTRIX-100;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ  VICTRIX PRO 100;2772,14;TEMAXIA;Κανονικός
VICTRIX/PRO;ΘΕΡΜΟΣΤΑΤΗΣ ΔΙΑΧ.ΖΩΝΩΝ & ΣΥΝΔ.ΛΕΒ.VICTRIX;565,44;TEMAXIA;Κανονικός
VICTRIX- 28;ΕΠΙΤ.ΜΟΝ. ΑΕΡΙΟΥ TERA 28 ΜΕ ΚΑΠΝ. IMMERGAS 3027370;760;TEMAXIA;Κανονικός
VICTRIX;ΣΥΣΚΕΥΗ ΜΕΤΑΤΡΟΠΗΣ ΓΙΑ ΧΡΗΣΗ ΥΓΡΑΕΡΙΟΥ;22,32;TEMAXIA;Κανονικός
VIADRUS-U22D 30;ΞΥΛΟΛΕΒΗΤΑΣ VIADRUS-U22D 30KW;1847,6;TEMAXIA;Κανονικός
VIADRUS-U22D;ΛΕΒΗΤΑΣ ΞΥΛΟΥ RADIALAND AS75;3565;TEMAXIA;Κανονικός
V-CRETO V;ΠΛΑΚΙΔΙΑ CRETO VERDE 33X33;14,756;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
V-CEMENTO G;ΠΛΑΚΙΔΙΑ CEMENTO GRAY 60X60;44,88;ΤΕΤΡ.ΜΕΤΡΑ;Κανονικός
VAILLANT-SET;ΣΕΤ ΟΡΙΖ.ΚΑΠΝΑΓΩΓΟΥ ECOTEC 60/100 PP VAILLANT;122,636;TEMAXIA;Κανονικός
VAILLANT-SENSO;SENSO COMFORT VRC 720/3 VAILLANT;426,56;Τεμάχια;Κανονικός
VAILLANT-ECO36;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ ECOTEC PLUS VUW 36CS/1-5 VAILLANT;3856,4;TEMAXIA;Κανονικός
VAILLANT-ECO32;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ ECOTEC PLUS VUW 32CS/1-5 VAILLANT;3472;TEMAXIA;Κανονικός
VAILLANT-ECO306;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ ECOTEC PLUS VUW INT III 306/5-5 VA;2752,8;TEMAXIA;Κανονικός
VAILLANT-CONNECT;VAILLANT CONECT VR 940f;276,52;Τεμάχια;Κανονικός
VAILLANT-AROTHERM125;ΕΞ.ΜΟΝΑΔΑ ΑΝΤΛΙΑΣ ΘΕΡΜ.VAILLANT AROTHERM SPLIT VWL125/5 AS 400V;10242,4;Τεμάχια;Κανονικός
VAILLANT-AROTHERM/127;ΕΣ.ΜΟΝΑΔΑ ΑΝΤΛΙΑΣ ΘΕΡΜ.VAILLANT AROTHERM SPLIT VWL127/5 AS IS MB3;3472;Τεμάχια;Κανονικός
VAILLANT-93248;ΘΕΡΜΟΣΤΑΤΗΣ ΑΣΦΑΛΕΙΑΣ ΓΙΑ ΤΟΝ ΗΛΙΑΚΟ ΣΤΑΘΜΟ VMS 70;66,96;TEMAXIA;Κανονικός
VAILLANT-93190;ΗΛΙΑΚΟΣ ΣΤΑΘΜΟΣ VAILLANT AUROFLOW VMS 70;874,2;TEMAXIA;Κανονικός
VAILLANT-92558;ΣΕΤ ΒΕΡΓΩΝ ΣΤΗΡΙΞΗΣ 2 ΤΕΜ ΓΙΑ VFK V;75,392;TEMAXIA;Κανονικός
VAILLANT-55181;ΣΕΤ ΥΔΡΑΥΛΙΚΗΣ ΕΠΕΚΤΑΣΗΣ VFK V;112,344;TEMAXIA;Κανονικός
VAILLANT-38518;ΗΛΙΑΚΟΣ ΣΥΛΛΕΚΤΗΣ VAILLANT VFK V 125/4;1169,32;TEMAXIA;Κανονικός
VAILLANT-38514;ΗΛΙΑΚ.ΣΥΛΛΕΚΤΗΣ VAILLANT AURO THERM VFK 145/3 V;1302;TEMAXIA;Κανονικός
VAILLANT-37774;ΒΑΣΗ ΤΟΠΟΘΕΤΗΣΗΣ ΤΑΡΑΤΣΑΣ ΓΙΑ VKF V;292,64;TEMAXIA;Κανονικός
VAILLANT-33813;ΣΕΤ ΥΔΡΑΥΛΙΚΗΣ ΣΥΝΔΕΣΗΣ 1ου ΣΥΛ VFK H/V;264,12;TEMAXIA;Κανονικός
VAILLANT286/5-3;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ ECOTEC PRO 286/5-3 VAILLANT;2517,2;TEMAXIA;Κανονικός
VAILLANT-236/7-2;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ PURE 236-2 VAILLANT;1711,2;TEMAXIA;Κανονικός
VAILLANT236/5-3;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ ECOTEC PRO 236/5-3 VAILLANT;1909,6;TEMAXIA;Κανονικός
VAILLANT-20644;ΤΑΜΙΕΥΤΗΡΑΣ ZNX VAILLANT AUROSTOR VIH S 500/3 BR;3534;TEMAXIA;Κανονικός
VAILLANT-18/24;ΕΠΙΤ.ΜΟΝ.ΑΕΡΙΟΥ INTRO 18/24-1 VAILLANT;1463,2;TEMAXIA;Κανονικός
VAILLANT-03656;ΗΛΙΑΚΟΣ ΕΛΕΓΚΤΗΣ VAILLANT AUROMATIC VRS 570;611,32;TEMAXIA;Κανονικός
URL-11;ΠΛΑΚΙΔΙΑ URL-11;7,561;TEMAXIA;Κανονικός
UNIT-215-34;ΛΕΒΗΤΑΣ BE UNIT G215-34KW;3162;TEMAXIA;Κανονικός
UNIT-125/28;UNIT LOGANO G125-28 BE ECO GR BUDERUS;2926,4;TEMAXIA;Κανονικός
UNIT 215-55;ΛΕΒΗΤΑΣ BE UNIT G215-55KW;3707,6;TEMAXIA;Κανονικός
UNIDELTA-Φ32;ΣΩΛΗΝΑΣ ΨΥΚΤ.Φ32ΧM13 ALUPEX UNIDELTA;8,7916;ΜΕΤΡΑ;Κανονικός
UNIDELTA-Φ26;ΣΩΛΗΝΑΣ ΨΥΚΤ.Φ26ΧM13 ALUPEX UNIDELTA;6,3984;ΜΕΤΡΑ;Κανονικός
UNIDELTA-Φ20;ΣΩΛΗΝΑΣ ΨΥΚΤ.Φ2OΧM13 ALUPEX UNIDELTA;3,832;ΜΕΤΡΑ;Κανονικός
UNIDELTA-Φ18;ΣΩΛΗΝΑΣ ΨΥΚΤ.Φ18ΧM13 ALUPEX UNIDELTA;3,63;TEMAXIA;Κανονικός
UNIDELTA-Φ16;ΣΩΛΗΝΑΣ ΨΥΚΤ.Φ16ΧΜ10 ALUPEX UNIDELTA;2,89;TEMAXIA;Κανονικός
U052-K;ΚΥΚΛΟΦΟΡΗΤΗΣ ΓΙΑ U052;202,12;TEMAXIA;Κανονικός
U022/U052;ΟΜΟΚ. ΣΩΛΗΝΑΣ ΓΙΑ U022/U052 Φ60/100;102,92;TEMAXIA;Κανονικός
U012-24;ΒΑΝΑ ΠΛΗΡΩΣΗΣ BY PASS U012-24/28KW;145,08;TEMAXIA;Κανονικός
U 022/U052;ΟΜΟΚΕΝΤΡΗ ΓΩΝΙΑ ΓΙΑ U022/U052 Φ60/100;52,08;TEMAXIA;Κανονικός
TZ-02 90;ΛΕΒΗΤΑΣ ΧΑΛΥΒΔ. STANDARD JUNIOR-90;1091,2;ΤΕΜΑΧΙΑ;Κανονικός
